Ticket id,Interaction id,Interaction date,Mailbox,x_ts,x_ic,Innso TYPOLOGY_TICKET ,y1,y2,y3,y4
23050,64542,44805.87361,support.eu@aspiegel.com,od: full refund from first day,already sent to them mail twice with reminder two weeks ago but they never replied they fixed bug after was impacted and they want to shut it down to be silence as we see kindly asking to make refund because of this situation for your support to making it possible kind regards client from sent pm to subject od full refund from first day we appreciate you patience our internal team reached us back and they informed us that they suggest you to contact developer first with the proof that the products are not as advertised and if developer agrees to refund you can provide that proof to us you should be able to contact the customer support of the game on https aihelp net privacypolicy or customer service if you have further game issue you also can directly contact our dedicated game operation staff through discord channel here is the discord link poland https discord gg tkyzc cagu that serves your country we would greatly appreciate your feedback regarding our email exchange as we need your input to keep improving our service therefore we invite you to fill in the survey that will soon arrive on the email address you used to contact us if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely ramon aspiegel to od full refund from first day thanks you for feedback perfectly understand this but what in case when the products is not as advertised and not functioning there is perfect example of it all because last big issue on devs side for positive feedback in this situation kind regards wys ano telefonu wiadomo od data wt sie do temat full refund from first day we have carefully review your request and unfortunately we have concluded that you are not quality for refund this time accordingly to the walking dead user agreement the refund of the payments can be provided once the items are successfully delivered to the gamer account please be aware that he purchase date back to therefore you have used the items purchased and there is no way of recollecting them for understanding sincerely ramon aspiegel to full refund from first day hope youre well accordingly to twd survivors where bought products is not as advertised and not functioning im asking for full refund since first day there is no fair and bugged competition which affects the gampley example last rzt vs match regarding to all isues kindly requesting for full refund in the first line below transactions ad db pln pw bf pln ad pln ad dc ed pln ad pln ad bc pln ad dc pln ad dcdac pln ad edc pln pw fcb pln ad pln ad dbd pln pw pln pw pln pw a pln c pln bda pln pw pln pw b pln ad ff pln ad bd cff pln be pln ad pln ad cb pln ad pln ad b pln thanks all of you for great cooperation wys ano telefonu huawei,AppGallery &amp; Games /  Refund request: unwanted subscription/ item/ app,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund
23049,64540,44805.85139,support.pt@aspiegel.com,appgallery problems and recommendations,description failed to install update me vydeoplayer contact information description failed installation updates me vydeoplayer contact information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps
23047,64532,44805.83333,support.eu@aspiegel.com,unreceived huawei points,it is ok don request anything you close the ticket thanks nderildi eyl per embe kime konu ynt unreceived we hope you re doing well this email is in regards to your concern about your campaign cashback to create better game experience we built discord channel to update you the latest game campaign discount activities and also provide you direct services we recommend you to use our discord channel we recommend you contact us via discord channel https discord gg tkyzc cagu from your computer desktop directly if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon prize you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely madalin to ynt unreceived again here is the information you requested my huawei id your service country turkey the name of the game app world of tanks blitz the name of the campaign you participated in app gallery game festival campaign cashback how many huawei points coupon was meant to receive about tl my discord account contact information icebreaker nderildi eyl per embe kime konu unreceived we hope you re doing well this email is in regards to your concern about world of tanks blitz cashback to build better game experience we build discord channel to update you the latest game campaign discount activities and provide you direct services we recommend you to use our discord channel please go to huawei app gallery campaign click any valid campaign on the list find discord icon in the page click the link and join if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts we would very much appreciate your feedback on our email exchange as we need your opinion to continue to improve our service therefore we invite you to fill out the survey that will soon be sent to the email address you used to contact us sincerely to unreceived have recently made an in game purchase world of tanks blitz but haven received because of that purchase my huawei account has the the same mail with this one please transfer the relevant amount of huawei points into my account best regards,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23046,64531,44805.83194,support.eu@aspiegel.com,,product appgallery games requests other requests contact full name miguel losada seoane phone numbe contact email address xxxxx xx com huawei id account xxxxx xx com sum of the issue was sent huawei scale for lottery but after more than week didn receive it and don know whom have to contact greeting home news events products partners support copyright aspiegel se,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23044,64525,44805.82222,support.pt@aspiegel.com,appgallery  problems and suggestions,description have the cell phone stumbled and don let me stop anything contact information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Use,UI Abnormal in Huawei AppGallery
23029,64464,44805.70347,support.eu@aspiegel.com,refund request,did and all they did days soft ban which is ridiculous from date thu pm to subject refund request we advise you to contact the developers for your refund request for your understanding sincerely alexandru to refund request that is very unfortunate because ve been contacting paypal and huawei for the past few months and never gotten and reply until found out this email did report it to the game developer but they ided to only soft ban those people for days and let them keep whatever they gotten for illegal third party recharge which makes the game environment unfair for us paying the full price using legit recharge platform from date thu pm to subject refund request we have checked with our internal team the huawei id and all the transactions took place more than days ago and according to our internal policy we are unable to assist you with the refund we advise you to report it to the developers and get feedback from their side also because we understand precisely what you mean with illegal payment for your understanding if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandru to refund request huawei id video of charge https youtube com shorts nppd mzfgpg feature share on thu at wrote unfortunately our internal tools do not allow access to folders from google drive could you please send them in another format also could you please provide us with you huawei id for your understanding and cooperation sincerely alexandru to refund request screenshot com huawei hwid jpg svid mp on wed at wrote we hope you re doing well will do my very best to assist you this email is regarding your refund request in order to give you the best solution please provide us with the following information screenshot or record video of the charge your huawei id app gallery hms core open then take screenshot if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandru to refund request the game is allowing illegal third party transactions and it not fair for players purchasing through legal and legit platforms to recharge so demand at least partial refund from the app kingdom guard,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund
23025,64447,44805.68333,support.eu@aspiegel.com,unreceived huawei points,again here is the information you requested my huawei id your service country turkey the name of the game app world of tanks blitz the name of the campaign you participated in app gallery game festival campaign cashback how many huawei points coupon was meant to receive about tl my discord account contact information icebreaker nderen nderildi eyl per embe kime konu unreceived we hope you re doing well this email is in regards to your concern about world of tanks blitz cashback to build better game experience we build discord channel to update you the latest game campaign discount activities and provide you direct services we recommend you to use our discord channel please go to huawei app gallery campaign click any valid campaign on the list find discord icon in the page click the link and join if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts we would very much appreciate your feedback on our email exchange as we need your opinion to continue to improve our service therefore we invite you to fill out the survey that will soon be sent to the email address you used to contact us sincerely to unreceived have recently made an in game purchase world of tanks blitz but haven received because of that purchase my huawei account has the the same mail with this one please transfer the relevant amount of huawei points into my account best regards,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23025,64468,44805.71458,support.eu@aspiegel.com,unreceived huawei points,we hope you re doing well this email is in regards to your concern about your campaign cashback to create better game experience we built discord channel to update you the latest game campaign discount activities and also provide you direct services we recommend you to use our discord channel we recommend you contact us via discord channel https discord gg tkyzc cagu from your computer desktop directly if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon prize you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely madalin to ynt unreceived again here is the information you requested my huawei id your service country turkey the name of the game app world of tanks blitz the name of the campaign you participated in app gallery game festival campaign cashback how many huawei points coupon was meant to receive about tl my discord account contact information icebreaker nderen nderildi eyl per embe kime konu unreceived we hope you re doing well this email is in regards to your concern about world of tanks blitz cashback to build better game experience we build discord channel to update you the latest game campaign discount activities and provide you direct services we recommend you to use our discord channel please go to huawei app gallery campaign click any valid campaign on the list find discord icon in the page click the link and join if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts we would very much appreciate your feedback on our email exchange as we need your opinion to continue to improve our service therefore we invite you to fill out the survey that will soon be sent to the email address you used to contact us sincerely to unreceived have recently made an in game purchase world of tanks blitz but haven received because of that purchase my huawei account has the the same mail with this one please transfer the relevant amount of huawei points into my account best regards,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23024,64446,44805.68264,support.pt@aspiegel.com,appgallery  questions and suggestions,description pb connection to wifi and mobile data contact information send from my mobile huawei,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others
23024,64465,44805.70556,support.pt@aspiegel.com,appgallery  questions and suggestions,this email is about your concerns regarding your problem with appgallery in order to be able to deepen the survey please provide us with the following details description of the problem screenshot or video recording of the error when the problem occurred this email is about your concerns regarding your problem with appgallery hms core open and then make screenshot the model of your phone the sn number of your device version appgallery huawei appgallery open the following details description of the problem screenshot or video recording of the error when the problem occurred your mobile id is about your mobile id appgallery huawei appgallery huawei appgallery huawei appgallery huawei appgallery,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others
23021,64426,44805.64931,support.pt@aspiegel.com,appgallery problems and suggestions appgallery problems and suggestions,description impossible to install the app contact information send from my huawei phone,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23017,64414,44805.63333,support.eu@aspiegel.com,refund request,that is very unfortunate because ve been contacting paypal and huawei for the past few months and never gotten and reply until found out this email did report it to the game developer but they ided to only soft ban those people for days and let them keep whatever they gotten for illegal third party recharge which makes the game environment unfair for us paying the full price using legit recharge platform from date thu pm to subject refund request we have checked with our internal team the huawei id and all the transactions took place more than days ago and according to our internal policy we are unable to assist you with the refund we advise you to report it to the developers and get feedback from their side also because we understand precisely what you mean with illegal payment for your understanding if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandru to refund request huawei id video of charge https youtube com shorts nppd mzfgpg feature share on thu at wrote unfortunately our internal tools do not allow access to folders from google drive could you please send them in another format also could you please provide us with you huawei id for your understanding and cooperation sincerely alexandru to refund request screenshot com huawei hwid jpg svid mp on wed at wrote we hope you re doing well will do my very best to assist you this email is regarding your refund request in order to give you the best solution please provide us with the following information screenshot or record video of the charge your huawei id app gallery hms core open then take screenshot if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandru to refund request the game is allowing illegal third party transactions and it not fair for players purchasing through legal and legit platforms to recharge so demand at least partial refund from the app kingdom guard,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund
23017,64443,44805.67847,support.eu@aspiegel.com,refund request,we advise you to contact the developers for your refund request for your understanding sincerely alexandru to refund request that is very unfortunate because ve been contacting paypal and huawei for the past few months and never gotten and reply until found out this email did report it to the game developer but they ided to only soft ban those people for days and let them keep whatever they gotten for illegal third party recharge which makes the game environment unfair for us paying the full price using legit recharge platform from date thu pm to subject refund request we have checked with our internal team the huawei id and all the transactions took place more than days ago and according to our internal policy we are unable to assist you with the refund we advise you to report it to the developers and get feedback from their side also because we understand precisely what you mean with illegal payment for your understanding if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandru to refund request huawei id video of charge https youtube com shorts nppd mzfgpg feature share on thu at wrote unfortunately our internal tools do not allow access to folders from google drive could you please send them in another format also could you please provide us with you huawei id for your understanding and cooperation sincerely alexandru to refund request screenshot com huawei hwid jpg svid mp on wed at wrote we hope you re doing well will do my very best to assist you this email is regarding your refund request in order to give you the best solution please provide us with the following information screenshot or record video of the charge your huawei id app gallery hms core open then take screenshot if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandru to refund request the game is allowing illegal third party transactions and it not fair for players purchasing through legal and legit platforms to recharge so demand at least partial refund from the app kingdom guard,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund
23012,64379,44805.6125,support.pt@aspiegel.com,appgallery problems and suggestions,description haiii buba contact information beyekeita sent from my phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,
23012,64388,44805.61736,support.eu@aspiegel.com,information,we hope you re doing well in order to give you the best solution could you please clarify your request with following information description of the issue screenshot or record video of error when issue happened your huawei id app gallery hms core open then take screenshot your phone model sn number of your device app gallery version huawei app gallery me about hms core version huawei app gallery hms core open settings about related app related app version the log of app gallery if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts with kind regards ian to appgallery problems and suggestions description haiii buba contact information beyekeita sent from my phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,
23007,64360,44805.60556,support.eu@aspiegel.com,unreceived huawei points,have recently made an in game purchase world of tanks blitz but haven received huawei points because of that purchase my huawei account has the the same mail with this one please transfer the relevant amount of huawei points into my account best regards,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23007,64396,44805.62014,support.eu@aspiegel.com,unreceived huawei points,we hope you re doing well this email is in regards to your concern about world of tanks blitz cashback to build better game experience we build discord channel to update you the latest game campaign discount activities and provide you direct services we recommend you to use our discord channel please go to huawei app gallery campaign click any valid campaign on the list find discord icon in the page click the link and join if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts we would very much appreciate your feedback on our email exchange as we need your opinion to continue to improve our service therefore we invite you to fill out the survey that will soon be sent to the email address you used to contact us sincerely to unreceived have recently made an in game purchase world of tanks blitz but haven received because of that purchase my huawei account has the the same mail with this one please transfer the relevant amount of huawei points into my account best regards,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23003,64352,44805.58333,support.pt@aspiegel.com,appgallery problems and suggestions,description don go to install stumble guys information contact send from my huawei phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23003,64386,44805.61736,support.pt@aspiegel.com,appgallery problems and suggestions,aspiegel we hope you feel well to provide you with the best solution please specify your request with the following information core version of the problem screenshot or video recording of the error the time when the problem appeared your huawei id app gallery hms core open and then make screenshot of xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others
23002,64348,44805.57361,support.eu@aspiegel.com,,product in app purchase requests view change or cancel subscriptions contact full name lukas pur phone numbe contact email address sum of the issue have problem with music player app jetaudio bought the app long time ago from play store long before id was thing and after last phone update am reqired to buy it again via id home news events products partners support copyright aspiegel se,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,
23002,64355,44805.60139,support.eu@aspiegel.com,jetaudio+,this email is regarding your concern about buying the jetaudio app from the playstore and after the update you are required to purchase it again via wei id don worry perfectly understand your request and will be happy to assist you further with the best solution in order for us to investigate this issue further would you be so kind to send us the following details model go to settings about phone model when did the problem occur date time wei id email address or phone number used to register huawei id wei id register country region go to settings huawei id settings country screenshot video of the issue build numbe go to settings about phone build number hms version go to settings about phone build number sn serial number of phone go to settings about phone status serial number for further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely cristiana se is the provider of wei mobile services to wei and honor device owners in to support issue submit product in app purchase requests view change or cancel subscriptions contact full name pur phone numbe contact email address sum of the issue have problem with music player app jetaudio bought the app long time ago from play store long before id was thing and after last phone update am reqired to buy it again via id home news events products partners support copyright se,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
22994,64318,44805.52917,support.pt@aspiegel.com,appgallery problems and suggestions,description no instrol contact information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Suggestion,General,Others
